Variant: flat
Loading data...
Data: 4094 cascades, train=3275, val=409, test=410, D_max=2
Ref lengths: mean=78.3, median=16
Model params: 851,557
Training...
[Step 16400] loss=199.0529
[Step 16500] loss=186.0599
[Step 16600] loss=318.9946
[Step 16700] loss=270.3285
[Step 16800] loss=210.0674
[Step 16900] loss=267.2226
[Step 17000] loss=377.6188
[Step 17100] loss=420.8875
[Step 17200] loss=447.1711
[Step 17300] loss=126.4677
[Step 17400] loss=248.7662
[Step 17500] loss=222.1069
[Step 17600] loss=134.4391
[Step 17700] loss=291.2600
[Step 17800] loss=244.9948
[Step 17900] loss=185.6500
[Step 18000] loss=216.8976
  [Eval] gen_mean=137.0 gen_median=48 ref_mean=78.3 W1=0.7513 ins=26700 del=16324 depth_dist=[27409]
[Step 18100] loss=281.9507
[Step 18200] loss=212.2753
[Step 18300] loss=223.2650
[Step 18400] loss=256.4951
[Step 18500] loss=261.1411
[Step 18600] loss=397.8612
[Step 18700] loss=356.5388
[Step 18800] loss=386.3445
[Step 18900] loss=209.2644
[Step 19000] loss=194.1050
[Step 19100] loss=313.7941
[Step 19200] loss=252.1519
[Step 19300] loss=181.5709
[Step 19400] loss=363.0011
[Step 19500] loss=308.3527
[Step 19600] loss=323.7943
[Step 19700] loss=369.6909
[Step 19800] loss=254.3552
[Step 19900] loss=332.3949
[Step 20000] loss=192.1430
  [Eval] gen_mean=117.7 gen_median=32 ref_mean=78.3 W1=0.5043 ins=23014 del=15475 depth_dist=[23543]
[Step 20100] loss=250.9666
[Step 20200] loss=332.2385
[Step 20300] loss=244.0556
[Step 20400] loss=252.4332
[Step 20500] loss=258.6462
[Step 20600] loss=196.5860
[Step 20700] loss=167.1467
[Step 20800] loss=385.8416
[Step 20900] loss=178.5356
[Step 21000] loss=219.6923
[Step 21100] loss=226.1485
[Step 21200] loss=313.5179
[Step 21300] loss=197.6208
[Step 21400] loss=312.5140
[Step 21500] loss=364.2897
[Step 21600] loss=378.0211
[Step 21700] loss=368.1647
[Step 21800] loss=236.0709
[Step 21900] loss=443.1085
[Step 22000] loss=334.7845
  [Eval] gen_mean=135.7 gen_median=31 ref_mean=78.3 W1=0.7341 ins=26482 del=14123 depth_dist=[27140]
[Step 22100] loss=357.5357
[Step 22200] loss=312.4401
[Step 22300] loss=267.2523
[Step 22400] loss=346.9011
[Step 22500] loss=246.8774
[Step 22600] loss=350.6437
[Step 22700] loss=321.7218
[Step 22800] loss=143.8103
[Step 22900] loss=213.9035
[Step 23000] loss=342.1724
[Step 23100] loss=276.0627
[Step 23200] loss=198.9565
[Step 23300] loss=318.7168
[Step 23400] loss=203.1682
[Step 23500] loss=253.8382
[Step 23600] loss=176.5189
[Step 23700] loss=298.8295
[Step 23800] loss=336.0312
[Step 23900] loss=255.3889
[Step 24000] loss=348.0048
  [Eval] gen_mean=114.4 gen_median=51 ref_mean=78.3 W1=0.5023 ins=21819 del=13417 depth_dist=[22879]
[Step 24100] loss=200.5074
[Step 24200] loss=111.6508
[Step 24300] loss=239.7817
[Step 24400] loss=286.7076
[Step 24500] loss=235.1762
[Step 24600] loss=202.4847
[Step 24700] loss=289.6878
[Step 24800] loss=269.2370
[Step 24900] loss=439.3694
[Step 25000] loss=284.8166
[Step 25100] loss=401.3588
[Step 25200] loss=261.9922
[Step 25300] loss=284.1252
[Step 25400] loss=204.2028
[Step 25500] loss=233.7090
[Step 25600] loss=176.5220
[Step 25700] loss=338.1172
[Step 25800] loss=232.9461
[Step 25900] loss=302.4455
[Step 26000] loss=364.5922
  [Eval] gen_mean=127.6 gen_median=38 ref_mean=78.3 W1=0.6310 ins=25295 del=15102 depth_dist=[25526]
[Step 26100] loss=295.5832
[Step 26200] loss=370.9687
[Step 26300] loss=343.1094
[Step 26400] loss=453.7623
[Step 26500] loss=381.2516
[Step 26600] loss=252.0677
[Step 26700] loss=224.1613
[Step 26800] loss=231.3650
[Step 26900] loss=311.7934
[Step 27000] loss=432.9798
[Step 27100] loss=275.2519
[Step 27200] loss=312.9540
[Step 27300] loss=324.7113
[Step 27400] loss=157.1459
[Step 27500] loss=269.4942
[Step 27600] loss=230.5234
[Step 27700] loss=285.3300
[Step 27800] loss=281.7103
[Step 27900] loss=129.9240
[Step 28000] loss=362.7265
  [Eval] gen_mean=111.1 gen_median=28 ref_mean=78.3 W1=0.4243 ins=21841 del=12244 depth_dist=[22217]
[Step 28100] loss=331.3605
[Step 28200] loss=221.5844
[Step 28300] loss=352.4945
[Step 28400] loss=191.4229
[Step 28500] loss=324.8968
[Step 28600] loss=283.4124
[Step 28700] loss=267.5621
[Step 28800] loss=332.1211
[Step 28900] loss=197.7890
[Step 29000] loss=179.0513
[Step 29100] loss=269.2884
[Step 29200] loss=334.1206
[Step 29300] loss=246.3654
[Step 29400] loss=361.2827
[Step 29500] loss=261.7347
[Step 29600] loss=160.1555
[Step 29700] loss=188.5728
[Step 29800] loss=262.6507
[Step 29900] loss=291.5989
[Step 30000] loss=207.6651
  [Eval] gen_mean=119.8 gen_median=56 ref_mean=78.3 W1=0.5357 ins=23169 del=13556 depth_dist=[23958]
Training complete. Best W1: 0.2323
