Variant: motive
Loading data...
CondCascadeDataset: 4094 cascades, cond_dim=14
Data: 4094 cascades, train=3275, val=409, test=410, D_max=2, cond_dim=14
Ref lengths: mean=78.3, median=16
Model params: 870,311
Training...
[Step   100] loss=210.5278
[Step   200] loss=292.1555
[Step   300] loss=287.7193
[Step   400] loss=206.1068
[Step   500] loss=309.2826
[Step   600] loss=203.4396
[Step   700] loss=213.0495
[Step   800] loss=212.7831
[Step   900] loss=311.6013
[Step  1000] loss=247.1119
[Step  1100] loss=259.3653
[Step  1200] loss=153.4314
[Step  1300] loss=241.6150
[Step  1400] loss=312.5449
[Step  1500] loss=257.2524
[Step  1600] loss=281.3735
[Step  1700] loss=247.4958
[Step  1800] loss=348.8124
[Step  1900] loss=274.2221
[Step  2000] loss=303.6918
/gpfsnyu/home/gw2556/.conda/envs/T2S/lib/python3.10/site-packages/torch/nn/modules/transformer.py:408: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [Eval] gen_mean=102.3 gen_median=26 ref_mean=78.3 W1=0.3136 ins=20021 del=14205 depth_dist=[130/16688/3652]
[Step  2100] loss=310.7269
[Step  2200] loss=228.5536
[Step  2300] loss=235.1266
[Step  2400] loss=303.1068
[Step  2500] loss=248.2696
[Step  2600] loss=281.3251
[Step  2700] loss=347.1217
[Step  2800] loss=200.9529
[Step  2900] loss=304.8088
[Step  3000] loss=173.1680
[Step  3100] loss=285.8753
[Step  3200] loss=229.6097
[Step  3300] loss=262.7122
[Step  3400] loss=239.7175
[Step  3500] loss=214.3819
[Step  3600] loss=386.5110
[Step  3700] loss=248.6398
[Step  3800] loss=274.9512
[Step  3900] loss=229.3666
[Step  4000] loss=256.9482
  [Eval] gen_mean=83.0 gen_median=14 ref_mean=78.3 W1=0.1605 ins=16662 del=11932 depth_dist=[50/14425/2128]
[Step  4100] loss=147.3438
[Step  4200] loss=211.5598
[Step  4300] loss=361.4456
[Step  4400] loss=204.6208
[Step  4500] loss=260.8293
[Step  4600] loss=254.7106
[Step  4700] loss=193.1435
[Step  4800] loss=257.0117
[Step  4900] loss=217.3412
[Step  5000] loss=252.7224
[Step  5100] loss=437.0787
[Step  5200] loss=252.7563
[Step  5300] loss=319.1009
[Step  5400] loss=280.1418
[Step  5500] loss=238.1927
[Step  5600] loss=266.8494
[Step  5700] loss=222.7779
[Step  5800] loss=252.0140
[Step  5900] loss=258.5829
[Step  6000] loss=372.8829
  [Eval] gen_mean=86.3 gen_median=19 ref_mean=78.3 W1=0.1200 ins=17353 del=13510 depth_dist=[73/12046/5146]
[Step  6100] loss=170.5017
[Step  6200] loss=253.7962
[Step  6300] loss=292.4745
[Step  6400] loss=409.1945
[Step  6500] loss=282.7961
[Step  6600] loss=252.2128
[Step  6700] loss=329.4529
[Step  6800] loss=215.7372
[Step  6900] loss=292.0987
[Step  7000] loss=198.0630
[Step  7100] loss=220.1964
[Step  7200] loss=239.1093
[Step  7300] loss=254.6438
[Step  7400] loss=332.9628
[Step  7500] loss=230.9519
[Step  7600] loss=148.4265
[Step  7700] loss=301.0583
[Step  7800] loss=233.2471
[Step  7900] loss=260.0726
[Step  8000] loss=326.4168
  [Eval] gen_mean=63.9 gen_median=18 ref_mean=78.3 W1=0.2209 ins=12797 del=15773 depth_dist=[66/9675/3047]
[Step  8100] loss=240.4622
[Step  8200] loss=275.8466
[Step  8300] loss=183.7682
[Step  8400] loss=169.3340
[Step  8500] loss=224.6887
[Step  8600] loss=205.8261
[Step  8700] loss=233.9306
[Step  8800] loss=244.9499
[Step  8900] loss=202.1598
[Step  9000] loss=368.0679
[Step  9100] loss=278.2858
[Step  9200] loss=281.3810
[Step  9300] loss=259.9864
[Step  9400] loss=237.0427
[Step  9500] loss=202.5915
[Step  9600] loss=163.1155
[Step  9700] loss=155.8180
[Step  9800] loss=210.7213
[Step  9900] loss=275.5062
[Step 10000] loss=172.7177
  [Eval] gen_mean=101.4 gen_median=14 ref_mean=78.3 W1=0.3508 ins=20183 del=15196 depth_dist=[99/18628/1551]
[Step 10100] loss=265.8010
[Step 10200] loss=193.3513
[Step 10300] loss=187.9547
[Step 10400] loss=344.6592
[Step 10500] loss=283.5400
[Step 10600] loss=279.8428
[Step 10700] loss=238.6519
[Step 10800] loss=285.9134
[Step 10900] loss=168.5843
[Step 11000] loss=224.2450
[Step 11100] loss=225.3284
[Step 11200] loss=234.5688
[Step 11300] loss=234.1546
[Step 11400] loss=239.3716
[Step 11500] loss=296.1651
[Step 11600] loss=162.3668
[Step 11700] loss=244.5188
[Step 11800] loss=301.0768
[Step 11900] loss=362.7414
[Step 12000] loss=161.5681
  [Eval] gen_mean=80.1 gen_median=11 ref_mean=78.3 W1=0.2345 ins=15806 del=12059 depth_dist=[78/14493/1440]
[Step 12100] loss=401.3077
[Step 12200] loss=241.8382
[Step 12300] loss=266.8704
[Step 12400] loss=209.0072
[Step 12500] loss=186.2729
[Step 12600] loss=141.0619
[Step 12700] loss=145.8608
[Step 12800] loss=242.1461
[Step 12900] loss=278.1551
[Step 13000] loss=177.2861
[Step 13100] loss=196.4094
[Step 13200] loss=184.1041
[Step 13300] loss=171.0488
[Step 13400] loss=211.6878
[Step 13500] loss=150.0647
[Step 13600] loss=327.6064
[Step 13700] loss=296.4802
[Step 13800] loss=174.2741
[Step 13900] loss=170.7972
[Step 14000] loss=233.3579
  [Eval] gen_mean=58.0 gen_median=11 ref_mean=78.3 W1=0.3466 ins=11776 del=15858 depth_dist=[91/10165/1340]
[Step 14100] loss=235.1192
[Step 14200] loss=196.9173
[Step 14300] loss=329.5297
[Step 14400] loss=286.0092
[Step 14500] loss=243.9246
[Step 14600] loss=295.6263
[Step 14700] loss=284.2425
[Step 14800] loss=235.9651
[Step 14900] loss=267.4130
[Step 15000] loss=365.7267
[Step 15100] loss=277.4588
[Step 15200] loss=120.1365
[Step 15300] loss=100.9864
[Step 15400] loss=236.3982
[Step 15500] loss=164.1732
[Step 15600] loss=211.6898
[Step 15700] loss=327.4029
[Step 15800] loss=269.4888
[Step 15900] loss=314.3259
[Step 16000] loss=274.3190
  [Eval] gen_mean=86.6 gen_median=20 ref_mean=78.3 W1=0.1359 ins=17620 del=16927 depth_dist=[76/15451/1797]
[Step 16100] loss=274.3880
[Step 16200] loss=187.2013
[Step 16300] loss=281.1313
[Step 16400] loss=187.3236
[Step 16500] loss=189.4329
[Step 16600] loss=260.0565
[Step 16700] loss=212.0181
[Step 16800] loss=339.0094
[Step 16900] loss=267.1787
[Step 17000] loss=225.6187
[Step 17100] loss=130.3763
[Step 17200] loss=209.6279
[Step 17300] loss=376.3370
[Step 17400] loss=228.3588
[Step 17500] loss=422.2466
[Step 17600] loss=244.9547
[Step 17700] loss=166.9435
[Step 17800] loss=267.6302
[Step 17900] loss=184.1981
[Step 18000] loss=328.1497
  [Eval] gen_mean=106.6 gen_median=16 ref_mean=78.3 W1=0.3740 ins=21382 del=15554 depth_dist=[87/19203/2021]
[Step 18100] loss=293.8306
[Step 18200] loss=255.9020
[Step 18300] loss=301.5814
[Step 18400] loss=262.7256
[Step 18500] loss=227.4282
[Step 18600] loss=170.5211
[Step 18700] loss=168.3355
[Step 18800] loss=261.4299
[Step 18900] loss=211.9337
[Step 19000] loss=213.9608
[Step 19100] loss=280.4142
[Step 19200] loss=264.6119
[Step 19300] loss=182.8717
[Step 19400] loss=322.5029
[Step 19500] loss=193.0975
[Step 19600] loss=176.9730
[Step 19700] loss=167.1790
[Step 19800] loss=85.6832
[Step 19900] loss=247.1546
[Step 20000] loss=187.5637
  [Eval] gen_mean=101.1 gen_median=14 ref_mean=78.3 W1=0.3105 ins=20494 del=15073 depth_dist=[58/18519/1644]
[Step 20100] loss=299.9550
[Step 20200] loss=251.0147
[Step 20300] loss=204.4379
[Step 20400] loss=238.9090
[Step 20500] loss=360.5013
[Step 20600] loss=274.3941
[Step 20700] loss=366.2401
[Step 20800] loss=196.9017
[Step 20900] loss=217.7317
[Step 21000] loss=224.4634
[Step 21100] loss=171.6380
[Step 21200] loss=357.4907
[Step 21300] loss=267.5885
[Step 21400] loss=168.4725
[Step 21500] loss=194.5646
[Step 21600] loss=267.7213
[Step 21700] loss=373.6485
[Step 21800] loss=225.2837
[Step 21900] loss=261.6513
[Step 22000] loss=248.3905
  [Eval] gen_mean=112.8 gen_median=14 ref_mean=78.3 W1=0.4681 ins=22850 del=18677 depth_dist=[99/21248/1213]
[Step 22100] loss=202.0958
[Step 22200] loss=350.0517
[Step 22300] loss=313.7477
[Step 22400] loss=273.0025
