Variant: ddpm
Loading data...
Data: 4094 cascades, train=3275, val=409, test=410, D_max=2
Ref lengths: mean=78.3, median=16
HPP rate: 50.0 events/unit-time
Model params: 851,879
Training...
[Step 16200] loss=3.4114
[Step 16300] loss=3.3664
[Step 16400] loss=3.0842
[Step 16500] loss=3.9092
[Step 16600] loss=3.1065
[Step 16700] loss=3.8694
[Step 16800] loss=3.6452
[Step 16900] loss=3.3883
[Step 17000] loss=3.4213
[Step 17100] loss=3.8523
[Step 17200] loss=3.1039
[Step 17300] loss=3.3844
[Step 17400] loss=3.6255
[Step 17500] loss=3.0811
[Step 17600] loss=3.1945
[Step 17700] loss=3.4842
[Step 17800] loss=3.3711
[Step 17900] loss=4.1456
[Step 18000] loss=3.3099
  [Eval] gen_mean=50.1 gen_median=50 ref_mean=78.3 W1=0.9612 ins=36 del=86 depth_dist=[10014/1/0]
[Step 18100] loss=3.9825
[Step 18200] loss=3.3528
[Step 18300] loss=3.2964
[Step 18400] loss=3.5669
[Step 18500] loss=3.2174
[Step 18600] loss=4.3400
[Step 18700] loss=3.4563
[Step 18800] loss=3.1514
[Step 18900] loss=3.3941
[Step 19000] loss=3.5097
[Step 19100] loss=3.0004
[Step 19200] loss=3.7818
[Step 19300] loss=3.3807
[Step 19400] loss=3.3413
[Step 19500] loss=2.4722
[Step 19600] loss=3.2142
[Step 19700] loss=3.6085
[Step 19800] loss=3.6022
[Step 19900] loss=3.9894
[Step 20000] loss=3.7044
  [Eval] gen_mean=49.0 gen_median=49 ref_mean=78.3 W1=0.9484 ins=54 del=88 depth_dist=[9803/1/0]
[Step 20100] loss=3.7203
[Step 20200] loss=4.0509
[Step 20300] loss=3.7126
[Step 20400] loss=3.5478
[Step 20500] loss=3.2739
[Step 20600] loss=3.3311
[Step 20700] loss=3.4838
[Step 20800] loss=4.0310
[Step 20900] loss=3.7410
[Step 21000] loss=3.4357
[Step 21100] loss=4.3318
[Step 21200] loss=2.9771
[Step 21300] loss=3.3803
[Step 21400] loss=3.3247
[Step 21500] loss=3.1020
[Step 21600] loss=3.2033
[Step 21700] loss=3.4501
[Step 21800] loss=3.2258
[Step 21900] loss=3.7626
[Step 22000] loss=3.7384
  [Eval] gen_mean=50.2 gen_median=50 ref_mean=78.3 W1=0.9606 ins=68 del=78 depth_dist=[10050/0/0]
[Step 22100] loss=3.4079
[Step 22200] loss=3.8217
[Step 22300] loss=3.0426
[Step 22400] loss=3.4244
[Step 22500] loss=3.1258
[Step 22600] loss=3.2520
[Step 22700] loss=3.8763
[Step 22800] loss=3.1834
[Step 22900] loss=3.6786
[Step 23000] loss=3.6156
[Step 23100] loss=3.6043
[Step 23200] loss=3.1948
[Step 23300] loss=3.3052
[Step 23400] loss=4.0481
[Step 23500] loss=3.0893
[Step 23600] loss=3.3061
[Step 23700] loss=3.2167
[Step 23800] loss=3.3567
[Step 23900] loss=3.8134
[Step 24000] loss=3.6021
  [Eval] gen_mean=50.1 gen_median=50 ref_mean=78.3 W1=0.9510 ins=67 del=85 depth_dist=[10018/1/0]
[Step 24100] loss=3.5826
[Step 24200] loss=3.0788
[Step 24300] loss=3.3189
[Step 24400] loss=3.1893
[Step 24500] loss=3.7223
[Step 24600] loss=4.1323
[Step 24700] loss=3.5238
[Step 24800] loss=3.6019
[Step 24900] loss=3.0828
[Step 25000] loss=3.2930
[Step 25100] loss=3.4678
[Step 25200] loss=3.4902
[Step 25300] loss=2.9200
[Step 25400] loss=3.1587
[Step 25500] loss=3.1101
[Step 25600] loss=3.5723
[Step 25700] loss=3.4944
[Step 25800] loss=3.4506
[Step 25900] loss=3.8459
[Step 26000] loss=3.8005
  [Eval] gen_mean=51.1 gen_median=51 ref_mean=78.3 W1=0.9664 ins=69 del=81 depth_dist=[10219/1/0]
[Step 26100] loss=3.6296
[Step 26200] loss=3.4248
[Step 26300] loss=4.1516
[Step 26400] loss=3.5995
[Step 26500] loss=3.4108
[Step 26600] loss=3.1476
[Step 26700] loss=3.5040
[Step 26800] loss=3.6438
[Step 26900] loss=3.1327
[Step 27000] loss=3.4235
[Step 27100] loss=3.1057
[Step 27200] loss=3.5742
[Step 27300] loss=3.2720
[Step 27400] loss=3.8118
[Step 27500] loss=3.3052
[Step 27600] loss=3.5592
[Step 27700] loss=4.0862
[Step 27800] loss=3.1519
[Step 27900] loss=3.3080
[Step 28000] loss=3.0134
  [Eval] gen_mean=50.0 gen_median=50 ref_mean=78.3 W1=0.9592 ins=53 del=74 depth_dist=[9997/2/0]
[Step 28100] loss=3.3961
[Step 28200] loss=3.8444
[Step 28300] loss=3.4553
[Step 28400] loss=4.1328
[Step 28500] loss=3.3173
[Step 28600] loss=3.6737
[Step 28700] loss=3.5102
[Step 28800] loss=3.6059
[Step 28900] loss=3.5952
[Step 29000] loss=3.8676
[Step 29100] loss=3.6462
[Step 29200] loss=3.3915
[Step 29300] loss=3.5310
[Step 29400] loss=3.8451
[Step 29500] loss=3.8739
[Step 29600] loss=3.3711
[Step 29700] loss=3.6566
[Step 29800] loss=3.7443
[Step 29900] loss=3.3038
[Step 30000] loss=3.2844
  [Eval] gen_mean=48.6 gen_median=48 ref_mean=78.3 W1=0.9533 ins=62 del=87 depth_dist=[9725/0/0]
Training complete. Best W1: 0.9484
